username,is_anime_face,contribs
2422,False,1
2424,False,94
2425,False,16
2426,False,13
2427,False,51
2428,False,3
2430,False,2
2431,False,165
2434,False,209
2436,False,4
2437,False,1
2438,False,246
2439,False,6
2440,False,1
2441,False,20
2444,False,138
2445,False,71
2446,False,2
2448,False,4
2449,False,32
2450,False,17
2451,False,2
2452,False,7
2454,False,6
2456,False,17
2457,False,4
2458,False,300
2459,False,16
2461,False,26
2463,False,1
2467,False,29
2471,False,47
2472,False,1
2473,False,32
2476,False,167
2478,False,28
2479,False,33
2480,False,108
2481,False,19
2482,False,1
2483,False,5
2484,False,28
2486,False,74
2488,False,149
2490,False,4
2492,False,191
2494,False,32
2496,False,2
2498,False,284
2499,False,3
2501,False,2
2505,False,2
2506,False,1
2507,False,26
2508,False,2
2510,False,16
2511,False,14
2512,False,8
2513,False,3
2514,False,46
2516,False,1
2518,False,12
2519,False,1
2520,False,9
2521,False,31
2522,False,5
2523,False,3
2525,False,3
2526,False,157
2530,False,1
2533,False,18
2538,False,5
2541,False,10
2543,False,57
2544,False,10
2546,False,59
2549,False,39
2550,False,2
2551,False,1
2553,False,22
2554,False,2
2559,False,7
2560,False,295
2561,False,2
2565,False,10
2567,False,298
2569,False,13
2571,False,300
2573,False,22
2575,False,1
2576,False,6
2578,False,9
2580,False,14
2581,False,12
2585,False,76
2587,False,14
2588,False,2
2590,False,1
2591,False,21
2594,False,83
2595,False,114
2597,False,6
2598,False,11
2602,False,2
2605,False,6
2606,False,10
2607,False,300
2608,False,2
2615,False,3
2616,False,58
2618,False,7
2619,False,45
2621,False,273
2622,False,123
2623,False,4
2624,False,296
2626,False,1
2627,False,294
2628,False,8
2629,False,77
2630,False,296
2631,False,246
2632,False,142
2634,False,1
2635,False,1
2638,False,6
2640,False,1
2642,False,2
2644,False,291
2648,False,5
2649,False,3
2650,False,292
2651,False,55
2655,False,3
2657,False,42
2660,False,45
2661,False,35
2662,False,95
2664,False,10
2665,False,4
2666,False,21
2669,False,300
2677,False,27
2678,False,2
2679,False,6
2680,False,1
2682,False,34
2683,False,4
2686,False,28
2687,False,251
2689,False,2
2694,False,8
2699,False,202
2702,False,7
2704,False,4
2705,False,34
2706,False,58
2708,False,4
2713,False,37
2715,False,70
2719,False,8
2720,False,62
2722,False,27
2723,False,13
2724,False,2
2726,False,10
2727,False,207
2730,False,3
2731,False,26
2734,False,124
2737,False,28
2738,False,73
2741,False,164
2742,False,28
2743,False,148
2744,False,1
2745,False,40
2749,False,108
2754,False,14
2761,False,1
2763,False,1
2764,False,4
2766,False,7
2767,False,300
2768,False,177
2769,False,15
2771,False,55
2772,False,13
2773,False,2
2774,False,9
2777,False,1
2778,False,22
2780,False,33
2781,False,293
2783,False,3
2784,False,71
2786,False,2
2787,False,2
2790,False,3
2794,False,17
2795,False,27
2797,False,235
2798,False,105
2799,False,1
2800,False,27
2802,False,2
2803,False,6
2807,False,9
2809,False,3
2812,False,11
2817,False,7
2819,False,245
2821,False,3
2822,False,9
2825,False,7
2827,False,35
2829,False,26
2830,False,2
2832,False,28
2833,False,8
2834,False,15
2835,False,6
2836,False,90
2838,False,7
2839,False,2
2840,False,47
2841,False,9
2842,False,3
2843,False,40
2844,False,14
2845,False,14
2846,False,2
2847,False,59
2848,False,45
2850,False,3
2852,False,33
2857,False,20
2858,False,4
2859,False,10
2862,False,39
2863,False,17
2865,False,2
2866,False,165
2868,False,105
2869,False,18
2870,False,3
2872,False,1
2876,False,299
2877,False,55
2878,False,2
2880,False,36
2882,False,296
2885,False,19
2887,False,27
2888,False,2
2890,False,47
2891,False,3
2892,False,63
2893,False,229
2895,False,6
2896,False,1
2901,False,7
2902,False,9
2903,False,56
2904,False,1
2907,False,1
2909,False,8
2911,False,300
2912,False,37
2914,False,10
2915,False,12
2917,False,4
2923,False,11
2924,False,142
2925,False,18
2926,False,197
2929,False,6
2933,False,19
2935,False,5
2941,False,5
2944,False,33
2946,False,36
2948,False,19
2951,False,277
2954,False,45
2959,False,14
2962,True,51
2965,False,67
2968,False,4
2969,False,3
2971,False,20
2974,False,2
2976,False,4
2977,False,11
2979,False,3
2981,False,67
2982,False,12
2983,False,298
2984,False,5
2985,False,12
2986,False,87
2987,False,22
2988,False,300
2990,False,8
2992,False,30
2993,False,293
3001,False,154
3002,False,18
3003,False,10
3006,False,72
3009,False,221
3010,False,32
3011,False,32
3012,False,36
3013,False,34
3014,False,103
3017,False,3
3018,False,2
3019,False,5
3022,False,35
3026,False,28
3028,False,35
3032,False,9
3033,False,14
3036,False,6
3038,False,1
3040,False,8
3041,False,81
3042,False,1
3044,False,294
3045,False,15
3047,False,6
3048,False,15
3052,False,1
3053,False,1
3057,False,50
3058,False,8
3061,False,4
3063,False,1
3066,False,290
3069,False,115
3072,False,57
3073,False,300
3075,False,1
3076,False,16
3077,False,7
3082,False,58
3084,False,45
3088,False,13
3089,False,3
3090,False,2
3091,False,52
3092,False,11
3093,False,9
3095,False,259
3096,False,7
3098,False,1
3099,False,54
3103,False,20
3104,False,12
3108,False,9
3110,False,119
3112,False,2
3115,False,26
3117,False,18
3123,False,46
3124,False,300
3125,False,1
3126,False,19
3129,False,271
3130,False,22
3133,False,72
3134,False,297
3138,False,31
3139,False,289
3140,True,300
3142,False,4
3145,False,14
3147,False,11
3148,False,1
3150,False,296
3153,False,17
3154,False,8
3156,False,10
3158,False,90
3161,False,145
3162,False,88
3166,False,214
3167,False,283
3169,False,182
3170,False,47
3172,False,9
3180,False,2
3188,False,15
3189,False,75
3192,False,14
3197,False,81
3198,False,7
3199,False,9
3200,False,1
3201,False,20
3202,False,41
3204,False,292
3206,False,13
3209,False,13
3212,False,33
3215,False,27
3216,False,96
3217,False,41
3219,False,2
3220,False,2
3221,False,14
3222,False,13
3223,False,9
3225,False,47
3226,False,2
3227,False,56
3228,False,66
3229,False,22
3231,False,51
3233,False,169
3234,False,22
3235,False,4
3236,False,5
3237,False,5
3238,False,1
3240,False,252
3243,False,20
3244,False,116
3246,False,188
3247,False,5
3248,False,294
3249,False,1
3250,False,277
3251,False,1
3252,False,282
3254,False,18
3255,False,35
3257,False,188
3262,False,13
3266,False,65
3267,False,292
3269,False,64
3270,False,43
3272,False,11
3274,False,152
3277,False,1
3278,False,26
3279,False,32
3281,False,3
3282,False,4
3283,False,2
3285,False,17
3286,False,66
3287,False,26
3292,False,2
3293,False,2
3294,False,1
3295,False,180
3296,False,32
3297,False,4
3298,False,5
3300,False,114
3302,False,154
3303,False,289
3304,False,9
3305,False,46
3306,False,15
3308,False,296
3309,False,264
3312,False,18
3313,False,4
3315,False,22
3317,False,157
3320,False,9
3322,False,5
3324,False,6
3325,False,6
3326,False,31
3327,False,46
3328,False,1
3330,False,27
3331,False,242
3335,False,31
3340,False,19
3341,False,300
3342,False,204
3345,False,3
3346,False,14
3347,False,18
3352,False,1
3353,False,67
3354,False,9
3355,False,2
3356,False,40
3357,False,6
3359,False,5
3361,False,7
3365,False,3
3368,False,5
3372,False,72
3374,False,1
3375,False,45
3379,False,14
3380,False,290
3382,False,28
3383,False,10
3384,False,9
3386,False,17
3387,False,234
3389,False,9
3390,False,17
3391,False,1
3392,False,286
3393,False,2
3394,False,76
3395,False,1
3397,False,288
3402,False,27
3406,False,25
3407,False,123
3409,False,13
3413,False,8
3414,False,112
3416,False,40
3418,False,35
3419,False,1
3420,False,18
3421,False,4
3424,False,7
3425,False,11
3426,False,1
3428,False,163
3429,False,5
3430,False,69
3432,False,181
3433,False,3
3435,False,10
3436,False,1
3437,False,63
3438,False,82
3439,False,2
3441,False,18
3443,False,7
3444,False,14
3445,False,1
3446,False,81
3447,False,179
3450,False,1
3451,False,2
3452,False,13
3453,False,292
3456,False,193
3458,False,41
3459,False,21
3460,False,1
3461,False,81
3462,False,4
3464,False,5
3465,False,11
3467,False,12
3468,False,10
3469,False,9
3471,False,12
3472,False,1
3473,False,18
3474,False,2
3478,False,38
3480,False,1
3483,False,294
3485,False,69
3486,False,20
3487,False,300
3493,False,76
3499,False,70
3500,False,89
3501,False,5
3503,False,6
3507,False,211
3508,False,134
3509,False,3
3510,False,1
3514,False,258
3515,False,162
3516,False,20
3520,False,3
3527,False,1
3528,False,42
3530,False,22
